NUMERONODI 200
NUMEROARCHI 19900
KMASSIMO 3

Soluzione iniziale:
Arco n 167, nodi 1-168, costo 95
Arco n 360, nodi 2-163, costo 61
Arco n 562, nodi 3-168, costo 71
Arco n 761, nodi 4-171, costo 32
Arco n 957, nodi 5-172, costo 80
Arco n 1150, nodi 6-171, costo 10
Arco n 1336, nodi 7-164, costo 77
Arco n 1539, nodi 8-175, costo 7
Arco n 1731, nodi 9-176, costo 26
Arco n 1805, nodi 10-60, costo 93
Arco n 1808, nodi 10-63, costo 68
Arco n 1921, nodi 10-176, costo 5
Arco n 1958, nodi 11-24, costo 67
Arco n 1962, nodi 11-28, costo 57
Arco n 2113, nodi 11-179, costo 28
Arco n 2148, nodi 12-26, costo 66
Arco n 2151, nodi 12-29, costo 88
Arco n 2296, nodi 12-174, costo 79
Arco n 2334, nodi 13-25, costo 90
Arco n 2340, nodi 13-31, costo 43
Arco n 2473, nodi 13-164, costo 27
Arco n 2527, nodi 14-32, costo 60
Arco n 2530, nodi 14-35, costo 21
Arco n 2669, nodi 14-174, costo 4
Arco n 2713, nodi 15-33, costo 98
Arco n 2716, nodi 15-36, costo 21
Arco n 2855, nodi 15-175, costo 26
Arco n 2902, nodi 16-38, costo 91
Arco n 2905, nodi 16-41, costo 98
Arco n 3041, nodi 16-177, costo 30
Arco n 3092, nodi 17-45, costo 54
Arco n 3095, nodi 17-48, costo 31
Arco n 3224, nodi 17-177, costo 37
Arco n 3268, nodi 18-39, costo 3
Arco n 3271, nodi 18-42, costo 11
Arco n 3407, nodi 18-178, costo 19
Arco n 3444, nodi 19-34, costo 74
Arco n 3447, nodi 19-37, costo 69
Arco n 3589, nodi 19-179, costo 88
Arco n 3617, nodi 20-27, costo 82
Arco n 3630, nodi 20-40, costo 8
Arco n 3772, nodi 20-182, costo 4
Arco n 3813, nodi 21-44, costo 12
Arco n 3816, nodi 21-47, costo 57
Arco n 3949, nodi 21-180, costo 5
Arco n 3990, nodi 22-43, costo 84
Arco n 3993, nodi 22-46, costo 50
Arco n 4119, nodi 22-172, costo 8
Arco n 4176, nodi 23-52, costo 47
Arco n 4179, nodi 23-55, costo 70
Arco n 4305, nodi 23-181, costo 47
Arco n 4349, nodi 24-49, costo 8
Arco n 4359, nodi 24-59, costo 30
Arco n 4525, nodi 25-50, costo 18
Arco n 4528, nodi 25-53, costo 20
Arco n 4679, nodi 26-30, costo 7
Arco n 4705, nodi 26-56, costo 91
Arco n 4884, nodi 27-62, costo 53
Arco n 4888, nodi 27-66, costo 54
Arco n 5048, nodi 28-54, costo 28
Arco n 5051, nodi 28-57, costo 99
Arco n 5230, nodi 29-65, costo 21
Arco n 5234, nodi 29-69, costo 91
