NUMERONODI 100
NUMEROARCHI 4950
KMASSIMO 10  
TABUSIZE 10 
ARCHIDIVERSIFICARE 20 
MAXITERAZIONI 3 
DIVERSIFICAZIONI 1
PENALIZZAZIONE 100
Soluzione iniziale:
Arco n 7, nodi 1-8, costo 78
Arco n 105, nodi 2-8, costo 4
Arco n 209, nodi 3-15, costo 98
Arco n 212, nodi 3-18, costo 8
Arco n 215, nodi 3-21, costo 89
Arco n 219, nodi 3-25, costo 93
Arco n 222, nodi 3-28, costo 87
Arco n 225, nodi 3-31, costo 48
Arco n 229, nodi 3-35, costo 80
Arco n 232, nodi 3-38, costo 81
Arco n 235, nodi 3-41, costo 9
Arco n 238, nodi 3-44, costo 22
Arco n 242, nodi 3-48, costo 79
Arco n 245, nodi 3-51, costo 58
Arco n 248, nodi 3-54, costo 88
Arco n 251, nodi 3-57, costo 2
Arco n 255, nodi 3-61, costo 28
Arco n 258, nodi 3-64, costo 86
Arco n 261, nodi 3-67, costo 69
Arco n 264, nodi 3-70, costo 16
Arco n 268, nodi 3-74, costo 51
Arco n 271, nodi 3-77, costo 57
Arco n 274, nodi 3-80, costo 89
Arco n 278, nodi 3-84, costo 10
Arco n 281, nodi 3-87, costo 61
Arco n 284, nodi 3-90, costo 89
Arco n 287, nodi 3-93, costo 2
Arco n 291, nodi 3-97, costo 88
Arco n 294, nodi 3-100, costo 57
Arco n 298, nodi 4-8, costo 54
Arco n 392, nodi 5-7, costo 74
Arco n 500, nodi 6-21, costo 25
Arco n 503, nodi 6-24, costo 2
Arco n 506, nodi 6-27, costo 26
Arco n 509, nodi 6-30, costo 11
Arco n 513, nodi 6-34, costo 90
Arco n 516, nodi 6-37, costo 63
Arco n 519, nodi 6-40, costo 62
Arco n 522, nodi 6-43, costo 13
Arco n 526, nodi 6-47, costo 7
Arco n 529, nodi 6-50, costo 58
Arco n 532, nodi 6-53, costo 60
Arco n 539, nodi 6-60, costo 1
Arco n 542, nodi 6-63, costo 28
Arco n 545, nodi 6-66, costo 5
Arco n 552, nodi 6-73, costo 50
Arco n 555, nodi 6-76, costo 56
Arco n 558, nodi 6-79, costo 57
Arco n 562, nodi 6-83, costo 71
Arco n 565, nodi 6-86, costo 96
Arco n 568, nodi 6-89, costo 12
Arco n 571, nodi 6-92, costo 85
Arco n 575, nodi 6-96, costo 29
Arco n 578, nodi 6-99, costo 32
Arco n 607, nodi 7-35, costo 21
Arco n 611, nodi 7-39, costo 5
Arco n 614, nodi 7-42, costo 98
Arco n 617, nodi 7-45, costo 93
Arco n 624, nodi 7-52, costo 5
Arco n 627, nodi 7-55, costo 81
